state,ports,population,gdp_per_capita
Alabama,1890,5157699,63079.51
Alaska,161,740133,96695.05
Arizona,4641,7582384,75185.93
Arkansas,1026,3088354,60983.81
California,70207,39431263,102662.4
Colorado,6785,5957493,93601.96
Connecticut,4994,3675069,97096.11
Delaware,699,1051917,105494.83
Florida,13418,23372215,73878.74
Georgia,7446,11180878,78840.7
Hawaii,1062,1446146,81338.54
Idaho,668,2001619,64456.92
Illinois,4833,12710158,90329.81
Indiana,2021,6924275,75028.29
Iowa,1297,3241488,81997.68
Kansas,1348,2970606,77601.03
Kentucky,1118,4588372,64374.75
Louisiana,994,4597740,71594.48
Maine,1383,1405012,70585.95
Maryland,5404,6263220,87180.14
Massachusetts,10203,7136171,109095.4
Michigan,4948,10140459,69273.68
Minnesota,2759,5793151,87635.87
Mississippi,676,2943045,53751.27
Missouri,3313,6245466,71846.31
Montana,475,1137233,68975.31
Nebraska,687,2005465,94363.5
Nevada,2740,3267467,82329.98
New Hampshire,834,1409032,84694.03
New Jersey,5566,9500851,89044.7
New Mexico,978,2130256,69045.65
New York,18872,19867248,116882.77
North Carolina,5982,11046024,76426.5
North Dakota,266,796568,100504.04
Ohio,5051,11883304,77683.83
Oklahoma,1674,4095393,64388.23
Oregon,4137,4272371,77299.02
Pennsylvania,5593,13078751,77061.94
Rhode Island,1016,1112308,72265.15
South Carolina,1989,5478831,65173.46
South Dakota,334,924669,83052.21
Tennessee,3040,7227750,77645.35
Texas,12233,31290831,88516.86
Utah,2916,3503613,85474.99
Vermont,1322,648493,71359.44
Virginia,5908,8811195,86450.68
Washington,8064,7958180,107563.99
West Virginia,533,1769979,60156.14
Wisconsin,1962,5960975,76044.37
Wyoming,308,587618,87638.74
